City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
270,quiberon,47.4841,-3.1196,284.37,84,39,4.98,FR,1731279156
271,puente alto,-33.6167,-70.5833,293.95,49,40,5.14,CL,1731279135
272,cudillero,43.5622,-6.1459,288.83,95,75,0.0,ES,1731279159
273,dhidhdhoo,6.8833,73.1,301.14,70,0,2.31,MV,1731279161
274,amos,48.5669,-78.1162,277.2,83,100,1.21,CA,1731279162
275,jackson,42.4165,-122.8345,289.3,60,100,2.06,US,1731278479
276,mejit,10.2753,170.8646,301.17,78,7,9.24,MH,1731279164
277,puerto varas,-41.3195,-72.9854,281.27,81,40,2.57,CL,1731279054
278,hasaki,35.7333,140.8333,291.61,92,100,3.93,JP,1731279166
279,howard springs,-12.497,131.047,303.64,70,83,2.12,AU,1731279167
280,nagqu,31.5,92.0,268.89,58,6,1.64,CN,1731279168
281,rio grande,-32.035,-52.0986,292.4,79,0,6.49,BR,1731279111
282,hawaiian paradise park,19.5933,-154.9731,299.88,81,75,3.6,US,1731279171
283,inari,68.906,27.0288,270.8,86,64,1.92,FI,1731279172
284,shibetsu,43.659,145.132,283.07,83,100,4.2,JP,1731279173
285,yuzhno-kurilsk,44.0306,145.8556,283.11,88,86,4.6,RU,1731279174
286,miracema do tocantins,-9.5618,-48.3967,297.28,85,77,1.6,BR,1731279175
287,ketou,7.3633,2.5998,297.22,87,4,1.11,BJ,1731279176
288,jeju city,33.5097,126.5219,290.11,72,20,2.57,KR,1731279177
289,middlebury (village),44.0153,-73.1673,283.41,46,100,2.06,US,1731279178
290,ternate,0.8,127.4,300.57,77,83,1.54,ID,1731279179
291,paramonga,-10.6667,-77.8333,292.54,80,36,3.63,PE,1731279180
292,nogliki,51.8333,143.1667,271.35,67,94,11.19,RU,1731279181
293,ebaye,8.7748,167.7392,303.16,70,75,5.66,MH,1731279183
294,manadhoo,5.7667,73.3833,300.99,69,10,1.01,MV,1731279184
295,touros,-5.1989,-35.4608,298.58,75,100,5.53,BR,1731279185
296,woolgoolga,-30.1106,153.2007,296.08,84,98,4.96,AU,1731279186
297,udachny,66.4167,112.4,257.22,95,94,2.19,RU,1731279187
298,ankazoabo,-22.2833,44.5167,298.03,62,4,0.66,MG,1731279188
299,tilcara,-23.5776,-65.3509,286.04,92,88,3.12,AR,1731279120
300,shirvan,39.9509,48.8994,284.52,83,84,2.11,AZ,1731279190
301,kaohsiung,22.6163,120.3133,297.61,92,40,1.03,TW,1731279191
302,cromer,52.9312,1.2989,285.19,93,100,4.47,GB,1731279192
303,prince george,53.9166,-122.753,274.84,93,20,1.79,CA,1731279180
304,opuwo,-18.0607,13.84,293.78,35,72,3.0,NA,1731279195
305,mulanje,-16.0316,35.5,297.17,64,34,2.52,MW,1731279197
306,port shepstone,-30.7414,30.455,292.1,90,100,1.5,ZA,1731279198
307,neryungri,56.6709,124.6491,251.56,97,57,1.37,RU,1731279199
308,mugia,43.1041,-9.2179,289.21,95,90,3.36,ES,1731279200
309,tasova,40.7597,36.3225,282.11,78,100,0.43,TR,1731279201
310,huayacocotla,20.55,-98.4833,290.02,77,80,2.37,MX,1731279202
311,phon charoen,18.0333,103.1667,293.59,77,48,1.51,TH,1731279203
312,asau,46.4333,26.4,273.99,90,21,1.84,RO,1731279205
313,aguai,-22.0594,-46.9786,294.41,73,0,1.67,BR,1731279206
314,mwanza,-2.5167,32.9,296.02,69,97,4.32,TZ,1731279207
315,tottori,35.5,134.2333,287.19,82,75,2.06,JP,1731278927
316,al jawf,29.5,38.75,292.72,44,0,3.56,SA,1731279209
317,saldanha,-33.0117,17.9442,288.18,82,77,6.12,ZA,1731279210
318,save,8.0425,2.486,298.56,70,42,1.5,BJ,1731279211
319,iskushuban,10.2837,50.23,296.91,72,68,4.09,SO,1731279212
320,malanje,-9.5402,16.341,290.93,98,100,1.12,AO,1731279213
321,gunnison,38.7,-107.0673,277.62,85,1,0.42,US,1731279214
322,coxen hole,16.3244,-86.5366,302.75,66,20,1.54,HN,1731279215
323,krasnyy yar,46.5331,48.3456,277.58,85,0,1.85,RU,1731279218
324,grande prairie,55.1667,-118.8027,275.25,64,75,3.09,CA,1731279165
325,castillos,-34.1667,-53.8333,289.05,88,6,3.78,UY,1731279220
326,kingscliff,-28.2667,153.5667,300.34,83,100,3.09,AU,1731279221
327,kanggye,40.9695,126.5852,277.38,90,13,1.15,KP,1731279222
328,gaspe,48.8334,-64.4819,276.27,70,20,0.0,CA,1731279002
329,acapulco de juarez,16.8634,-99.8901,304.05,74,75,2.57,MX,1731279029
330,tougan,13.0667,-3.0667,298.36,20,26,3.69,BF,1731279228
331,devonport,-41.1667,146.35,286.22,68,26,0.89,AU,1731279229
332,tibanbang,6.6315,126.1055,300.63,81,29,1.16,PH,1731279230
333,hammerfest,70.6634,23.6821,281.4,81,75,5.14,NO,1731279231
334,la passe,45.5549,-0.8967,288.13,73,100,3.97,FR,1731279232
335,boende,-0.2167,20.8667,292.27,99,92,1.21,CD,1731279233
336,xunchang,28.4543,104.715,287.82,94,100,0.83,CN,1731279234
337,ponta delgada,37.7333,-25.6667,293.55,83,75,5.66,PT,1731279235
338,luderitz,-26.6481,15.1594,288.29,78,0,7.06,NA,1731279236
339,tafuna,-14.3358,-170.72,303.12,79,40,6.17,AS,1731279238
340,codrington,-38.2667,141.9667,289.6,55,9,3.52,AU,1731279239
341,kargasok,59.0556,80.8572,263.01,87,100,5.9,RU,1731279240
342,cabo san lucas,22.8909,-109.9124,297.36,63,1,3.25,MX,1731279241
343,bossangoa,6.4926,17.4552,294.54,57,14,1.2,CF,1731279242
344,atbasar,51.8,68.3333,272.58,98,100,4.87,KZ,1731279243
345,fale old settlement,-9.3852,-171.2468,301.33,75,83,5.82,TK,1731279244
346,gebeit,21.0667,36.3167,296.56,78,26,3.8,SD,1731279245
347,queenstown,-31.8976,26.8753,285.82,92,100,1.91,ZA,1731279246
348,kapa'a,22.0752,-159.319,300.33,80,100,6.17,US,1731279247
349,usogorsk,63.4106,48.6872,266.76,97,33,1.03,RU,1731279249
350,magadan,59.5667,150.8,264.07,73,100,9.88,RU,1731279250
351,eufaula,31.8913,-85.1455,294.17,90,20,2.57,US,1731279251
352,manta,-0.95,-80.7333,300.03,65,40,6.17,EC,1731279005
353,dunedin,-45.8742,170.5036,286.37,51,66,3.58,NZ,1731279253
354,lincoln city,44.9582,-124.0179,286.87,92,100,2.24,US,1731279254
355,hailar,49.2,119.7,270.02,44,100,4.14,CN,1731279255
356,masterton,-40.9597,175.6575,292.55,44,60,2.03,NZ,1731279256
357,kerikeri,-35.2268,173.9474,292.54,91,100,1.79,NZ,1731279257
358,whangarei,-35.7317,174.3239,288.12,98,96,1.78,NZ,1731279047
359,sira,13.7453,76.9092,292.96,83,41,2.09,IN,1731279259
360,katsuura,35.1333,140.3,291.09,95,100,5.64,JP,1731279125
